gameNumber,successInStatic,isStatic,gameInterval,finalInterval,previousIntervalChange
1,0,0,0,478,0.00000000
2,0,0,0,482,0.00000000
3,0,0,0,450,0.00000000
4,1,1,490,366,0.00000000
5,1,1,465,312,-25.00000000
6,1,1,446,266,-18.75000000
7,0,1,429,224,-16.66666667
8,0,1,425,214,-3.12500000
9,1,1,428,182,3.00000000
10,0,1,425,171,-2.08333333
11,0,1,427,162,2.04081633
12,0,1,431,146,4.68750000
13,1,1,437,123,6.48148148
14,1,1,439,100,2.75000000
15,0,1,439,79,0.25000000
16,0,1,441,67,2.75000000
17,0,1,445,53,4.75000000
18,0,1,451,41,6.25000000
19,1,1,458,19,7.75000000
